"Name","Extension","SizeMB","Category","FullName","LastWriteTime"
"Pao К. - Астрология, Судьба и Колесо Времени.Техники и предсказания. – 2004.pdf",".pdf","16,42","05-vedic-jyotish","G:\Codex Goroskop\sources\books\library\05-vedic-jyotish\Pao К. - Астрология, Судьба и Колесо Времени.Техники и предсказания. – 2004.pdf","09.01.2025 18:23:41"
"Абу Машар - Большое введение в Астрологию - 2022.pdf",".pdf","29,34","01-classical-western","G:\Codex Goroskop\sources\books\library\01-classical-western\Абу Машар - Большое введение в Астрологию - 2022.pdf","04.06.2026 7:23:10"
"Агарвал Г.С. - Ведическая астрология. Том 2. Астрологические принципы. Семья и дети. Вопросы здоровья - 2017.pdf",".pdf","70,39","05-vedic-jyotish","G:\Codex Goroskop\sources\books\library\05-vedic-jyotish\Агарвал Г.С. - Ведическая астрология. Том 2. Астрологические принципы. Семья и дети. Вопросы здоровья - 2017.pdf","04.06.2026 7:28:58"
"Агарвал Г.С. - Ведическая астрология. Том 3. Профессия, периоды, техники предсказания - 2017.pdf",".pdf","60,54","05-vedic-jyotish","G:\Codex Goroskop\sources\books\library\05-vedic-jyotish\Агарвал Г.С. - Ведическая астрология. Том 3. Профессия, периоды, техники предсказания - 2017.pdf","04.06.2026 7:23:35"
"Агафонов А. -  Скрытые факторы гороскопа. .( Музыка Звезд). – 2003 .pdf",".pdf","9,77","13-special-factors-karma-asteroids-nodes","G:\Codex Goroskop\sources\books\library\13-special-factors-karma-asteroids-nodes\Агафонов А. -  Скрытые факторы гороскопа. .( Музыка Звезд). – 2003 .pdf","09.01.2025 18:21:49"
"Агафонов А. - Жребий фортуны.( Музыка Звезд). – 2002 .pdf",".pdf","17,2","13-special-factors-karma-asteroids-nodes","G:\Codex Goroskop\sources\books\library\13-special-factors-karma-asteroids-nodes\Агафонов А. - Жребий фортуны.( Музыка Звезд). – 2002 .pdf","09.01.2025 18:22:24"
"Агафонов А. – Курс астрологии. Часть 1. Числа. Зодиак. Планеты.(Заочная астрологическая школа Урании). – 2005 .pdf",".pdf","29,19","03-natal-houses-methods","G:\Codex Goroskop\sources\books\library\03-natal-houses-methods\Агафонов А. – Курс астрологии. Часть 1. Числа. Зодиак. Планеты.(Заочная астрологическая школа Урании). – 2005 .pdf","09.01.2025 18:22:19"
"Агафонов А. - Курс астрологии. Часть 2 .Аспекты. Цикличность. (Заочная астрологическая школа Урании). - 2005.pdf",".pdf","36,18","03-natal-houses-methods","G:\Codex Goroskop\sources\books\library\03-natal-houses-methods\Агафонов А. - Курс астрологии. Часть 2 .Аспекты. Цикличность. (Заочная астрологическая школа Урании). - 2005.pdf","09.01.2025 18:22:06"
"Агафонов А. - Курс астрологии. Часть 3.Сущность.Планеты в знаках. Форма.Дома.(Заочная астрологическая школа Урании). - 2005.pdf",".pdf","33,87","03-natal-houses-methods","G:\Codex Goroskop\sources\books\library\03-natal-houses-methods\Агафонов А. - Курс астрологии. Часть 3.Сущность.Планеты в знаках. Форма.Дома.(Заочная астрологическая школа Урании). - 2005.pdf","09.01.2025 18:22:10"
"Агафонов А. - Курс астрологии. Часть 4.Синтез.(Заочная астрологическая школа Урании). - 2006.pdf",".pdf","36,46","03-natal-houses-methods","G:\Codex Goroskop\sources\books\library\03-natal-houses-methods\Агафонов А. - Курс астрологии. Часть 4.Синтез.(Заочная астрологическая школа Урании). - 2006.pdf","09.01.2025 18:22:19"
